tool Patches UniqueMethodsModified PlausiblePatches UniqueMethodsModified
acs	43	25		2	1
avatar	1932	256		70	20
cardumen	1119	492		4	4
dynamoth	73	69		27	27
fixminer	1443	257		12	12
jgenprog	1770	796		4	3
jkali	1566	455		9	9
jmutrepair	1412	337		6	6
simfix	61807	1203		28	28
kalia	7474	933		26	19
tbar	1777	281		30	29
kpar	1742	287		14	14
prapr	630099	9971		1197	153
